|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 741|2|0.138|15|14.528|2149.739062976162|88.55138592716426
Generation 742|2|0.142|100|14.724|2149.964098556101|90.71034118861202
Generation 743|2|0.132|100|14.704|2149.739062976162|85.73802675374769
Generation 744|3|0.14|15|14.566|5024.719635813122|94.28785343530078
Generation 745|3|0.114|18|14.502|5024.719635813122|85.94180745017101
Generation 746|2|0.116|15|14.604|2149.739062976162|79.96520639286862
Generation 747|2|0.158|15|14.65|2149.739062976162|98.54566639055946
Generation 748|2|0.138|15|14.636|2149.739062976162|90.9229627965196
Generation 749|2|0.134|15|14.52|2149.739062976162|91.08383135984221
Generation 750|2|0.162|100|14.768|2149.739062976162|102.96078911047677
Generation 751|2|0.128|100|14.756|2149.739062976162|86.05602037602608
Generation 752|2|0.114|100|14.822|2149.739062976162|74.64327856290245
Generation 753|1|0.098|100|15.532|511.42505421866946|65.12751023870162
Generation 754|2|0.12|100|15.096|2149.739062976162|89.30009270967467
Generation 755|2|0.132|100|14.324|2149.739062976162|89.94048477953982
Generation 756|2|0.162|100|14.426|2149.964098556101|107.26169138473313
Generation 757|2|0.132|100|14.334|2149.739062976162|94.56062293518724
Generation 758|2|0.134|100|14.41|2149.739062976162|88.75246732298713
Generation 759|2|0.164|100|14.37|2149.964098556101|115.00398047353548
Generation 760|2|0.144|100|14.584|2149.739062976162|96.12369411927568
Generation 761|2|0.13|100|14.732|2149.739062976162|84.76574333428755
Generation 762|2|0.12|100|14.658|2149.739062976162|79.72999078269038
Generation 763|2|0.146|100|14.864|2149.739062976162|104.23112288937986
Generation 764|2|0.114|15|14.402|2149.739062976162|78.81678541756037
Generation 765|2|0.15|100|14.498|2149.739062976162|94.48661311155615
Generation 766|2|0.15|100|15.334|2149.739062976162|97.55740021175721
Generation 767|2|0.124|100|15.408|2149.739062976162|84.74393285652435
Generation 768|2|0.11|100|14.91|2149.739062976162|72.75376422745363
Generation 769|2|0.132|100|15.242|2149.739062976162|90.8495476276749
Generation 770|2|0.144|100|15.406|2149.739062976162|92.44321754327497
Generation 771|2|0.118|100|14.83|2149.739062976162|76.61634886845057
Generation 772|3|0.136|100|14.742|5024.719635813122|99.36318263184054
Generation 773|2|0.14|100|14.966|2149.739062976162|89.93192713497984
Generation 774|2|0.142|100|14.716|2149.739062976162|92.9706434321384
Generation 775|2|0.11|100|15.242|2149.739062976162|79.9241886155011
Generation 776|2|0.104|100|16.248|2149.739062976162|75.66971853894324
Generation 777|2|0.132|100|16.0|2149.739062976162|93.86356021324187
