|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 963|3|0.154|33|15.14|5005.486447528147|110.36077978083998
Generation 964|2|0.124|33|15.286|2149.8377997990897|84.15578723543734
Generation 965|2|0.106|33|15.034|2149.6181160598485|77.28892202081103
Generation 966|3|0.14|33|15.57|5005.486447528147|119.69816826186253
Generation 967|3|0.176|33|15.75|5006.763496021078|139.8697707968604
Generation 968|3|0.156|33|15.65|5028.82964176195|111.85462835371858
Generation 969|2|0.138|33|15.68|2149.986294709256|102.79673372149831
Generation 970|3|0.114|33|15.22|5020.270752177687|95.47456330737523
Generation 971|2|0.14|33|15.382|2149.739062976162|103.63118963402685
Generation 972|2|0.15|33|15.74|2148.71142795583|104.12985551208037
Generation 973|3|0.15|33|15.634|5023.038198361497|111.16003668298237
Generation 974|2|0.162|33|15.704|2149.9540739565236|119.15923601810847
Generation 975|2|0.118|33|15.524|2149.890070823094|83.70356163424879
Generation 976|2|0.13|33|15.522|2149.9540739565236|98.6939411857828
Generation 977|2|0.128|33|15.644|2149.475941242983|93.28365255680195
Generation 978|3|0.12|33|15.528|5026.96582588445|91.76658079604134
Generation 979|2|0.156|33|15.746|2149.475941242983|116.25853833743531
Generation 980|2|0.118|33|15.398|2149.739062976162|88.12964790645398
Generation 981|2|0.148|33|15.602|2149.913226044195|109.96904174094598
Generation 982|3|0.148|33|15.734|5019.2877281163765|117.27500244473602
Generation 983|3|0.142|33|15.582|5010.465200741229|109.3364510592916
Generation 984|2|0.172|33|16.012|2149.890070823094|124.28803819954672
Generation 985|2|0.128|33|15.25|2149.964098556101|93.07808905367861
Generation 986|3|0.186|33|15.822|5016.170998995946|147.69097931328176
Generation 987|2|0.146|33|15.686|2149.475941242983|97.6711143950676
Generation 988|2|0.146|33|15.612|2149.9540739565236|102.25936310524322
Generation 989|2|0.138|33|15.606|2149.739062976162|102.68753284494511
Generation 990|2|0.178|33|16.008|2149.6181160598485|136.42720862443713
Generation 991|2|0.12|33|15.674|2149.913226044195|87.11196241726644
Generation 992|2|0.116|33|15.482|2149.964098556101|87.21360955920346
Generation 993|3|0.148|33|15.758|5016.170998995946|117.0428540218024
Generation 994|2|0.134|33|15.364|2149.9540739565236|107.56097392508445
Generation 995|2|0.14|33|15.504|2149.890070823094|103.7644225938016
Generation 996|2|0.132|33|15.676|2149.9540739565236|93.05962299871439
Generation 997|2|0.128|33|15.546|2149.964098556101|95.54831789087714
Generation 998|3|0.15|33|15.866|5020.270752177687|111.36851564590629
Generation 999|2|0.15|33|15.822|2149.890070823094|111.10901115501707
Generation 1000|2|0.144|33|15.794|2149.913226044195|105.93099655764469
Generation 1001|2|0.144|33|15.634|2149.8377997990897|108.05828430880752
Generation 1002|3|0.156|33|15.668|5010.465200741229|114.16581087203146
Generation 1003|2|0.126|33|15.698|2148.71142795583|87.77197335458382
Generation 1004|2|0.122|33|15.83|2149.890070823094|90.41323175644618
Generation 1005|2|0.192|33|16.236|2149.6181160598485|150.27247076707545
Generation 1006|2|0.154|33|15.868|2149.964098556101|113.1253656757535
Generation 1007|3|0.14|33|15.712|5015.079034242259|115.38250088104303
Generation 1008|2|0.142|33|15.596|2149.6181160598485|109.34053751032485
Generation 1009|2|0.146|33|15.664|2149.8377997990897|106.8040813487231
Generation 1010|2|0.138|33|15.938|2149.964098556101|103.01683616378287
Generation 1011|3|0.194|33|16.01|5026.256363523016|149.52156077756828
Generation 1012|3|0.128|33|15.844|5010.465200741229|100.36633765325305
Generation 1013|2|0.136|33|15.66|2149.964098556101|101.88402776910254
Generation 1014|2|0.142|33|15.636|2149.964098556101|104.83761666193242
Generation 1015|2|0.144|33|15.54|2149.739062976162|101.16955800517518
Generation 1016|2|0.106|33|15.518|2149.1313553086493|80.02417730138244
Generation 1017|2|0.126|33|15.42|2149.964098556101|94.53655520399872
Generation 1018|2|0.112|33|15.616|2149.964098556101|78.57846895542819
Generation 1019|2|0.142|33|16.04|2146.7156767413435|95.87793812347265
Generation 1020|2|0.17|33|15.8|2149.964098556101|123.30134404726417
Generation 1021|2|0.148|33|15.838|2149.313421433475|103.33202027025904
Generation 1022|2|0.156|33|15.85|2149.890070823094|111.81102778441583
Generation 1023|3|0.158|33|15.736|5008.019294011269|117.39614513184063
Generation 1024|2|0.196|33|16.122|2149.964098556101|140.93160544531844
Generation 1025|4|0.132|33|15.796|9160.97945753794|109.85894535883241
Generation 1026|2|0.132|33|15.952|2149.8377997990897|88.63491356055476
Generation 1027|2|0.126|33|15.65|2149.964098556101|90.09775039950554
